"theta";"mu";"sigma";"MaxPStrat";"MaxMStrat"
52;0,07;0,1;106,501083899022;111,336702753275
53;0,07;0,1;106,467973685144;113,83888928139
54;0,07;0,1;106,839087971231;113,760801176745
55;0,07;0,1;107,013846950305;115,956016321
50;0,08;0,1;107,7558864739;112,591365639047
51;0,08;0,1;107,091967719508;110,505068783736
52;0,08;0,1;107,447612861492;113,473361714427
53;0,08;0,1;106,483421337925;116,761267423037
54;0,08;0,1;106,624149065238;116,358658675168
55;0,08;0,1;106,737014031273;112,583846479391
50;0,09;0,1;107,120032493587;115,006097481361
51;0,09;0,1;106,537547991853;113,590057361852
52;0,09;0,1;107,725285333362;112,248916851611
53;0,09;0,1;106,888329831458;114,492818044261
54;0,09;0,1;107,050034393451;114,099637968557
55;0,09;0,1;106,824323758611;114,777676184917
50;0,1;0,1;107,039941841145;111,992544752465
51;0,1;0,1;107,288460839449;113,391313350126
52;0,1;0,1;107,074720034459;112,783586831926
53;0,1;0,1;107,222476229592;114,365159300905
54;0,1;0,1;107,16725793854;113,366912823944
55;0,1;0,1;106,654955383296;114,088036507756
50;0,01;0,11;107,846296011144;114,929214066436
51;0,01;0,11;106,900244628004;115,091169179044
52;0,01;0,11;107,273278604049;116,088003072027
53;0,01;0,11;106,949334135923;116,983838005078
54;0,01;0,11;106,579024022773;118,082539484882
55;0,01;0,11;106,622565702978;116,024460293602
50;0,02;0,11;107,70819667204;115,306226533566
51;0,02;0,11;106,756539336319;115,010075699146
52;0,02;0,11;106,928384208899;116,31401337688
53;0,02;0,11;107,208938928732;116,891703346162
54;0,02;0,11;107,328216358405;118,326825155218
55;0,02;0,11;106,171570327999;118,044135667206
50;0,03;0,11;106,76647939633;117,21350451436
51;0,03;0,11;107,726165032571;114,76842480597
52;0,03;0,11;106,982918226449;118,030048308386
53;0,03;0,11;107,319835560301;115,516348677566
54;0,03;0,11;106,842485537538;115,545922479447
55;0,03;0,11;106,553286470567;114,555878425198
50;0,04;0,11;107,137669507504;113,788771336414
51;0,04;0,11;106,594276967188;113,43266551792
52;0,04;0,11;107,388847957028;115,656442281828
53;0,04;0,11;107,117347628052;114,269126059705
54;0,04;0,11;106,642011196517;115,283101766258
55;0,04;0,11;106,971596790221;113,757281217242
50;0,05;0,11;107,046776786007;117,974500359567
